level_0,index,Participant,State,Activity,Minute,MET (Google Fit),Datetime,Watch Intensity,MET (Ainsworth),MET (Freedson),MET (VM3),model_classification,scaled_intensity,estimation
18,18,P409,lab,breathing,4,0.8090358245316608,2019-11-07 14:17:00,0.029959322165587263,1.0,1.439008,0.668876,0,1.3115253811964236,1.3115253811964236
19,19,P409,lab,breathing,5,0.8090358245316608,2019-11-07 14:18:00,0.03591861180762313,1.0,1.439008,0.668876,0,1.3138179258810043,1.3138179258810043
20,20,P409,lab,fast walk,1,3.4672963908499748,2019-11-07 14:21:00,4.980626469865629,4.3,3.986188,3.911620060573699,1,3.2160519835837773,3.2160519835837773
21,21,P409,lab,fast walk,2,3.4672963908499748,2019-11-07 14:22:00,3.948082532543288,4.3,4.0163980000000015,3.932875486165095,1,2.8188312983519355,2.8188312983519355
22,22,P409,lab,fast walk,3,3.4672963908499748,2019-11-07 14:23:00,3.0026315337300606,4.3,4.077613,4.015790500182818,1,2.4551153536574883,2.4551153536574883
23,23,P409,lab,fast walk,4,3.4672963908499748,2019-11-07 14:24:00,5.621883918450018,4.3,3.9448480000000004,3.9053568155022336,1,3.4627443653116403,3.4627443653116403
24,24,P409,lab,fast walk,5,3.4672963908499748,2019-11-07 14:25:00,2.9526410574485715,4.3,4.077613,3.9555953831494044,1,2.435883967441523,2.435883967441523
25,25,P409,lab,breathing,1,1.2713420099783244,2019-11-07 14:35:00,0.060929199054524284,1.0,1.439008,0.668876,0,1.3234395238054746,1.3234395238054746
26,26,P409,lab,breathing,2,1.2713420099783244,2019-11-07 14:36:00,0.02313003258018648,1.0,1.439008,0.668876,0,1.3088981466636305,1.3088981466636305
27,27,P409,lab,breathing,3,1.2713420099783244,2019-11-07 14:37:00,0.029703028126262996,1.0,1.439008,0.668876,0,1.3114267846232015,1.3114267846232015
28,28,P409,lab,breathing,4,1.2713420099783244,2019-11-07 14:38:00,0.016564728283337254,1.0,1.439008,0.668876,0,1.3063724675353279,1.3063724675353279
29,29,P409,lab,breathing,5,1.2713420099783244,2019-11-07 14:39:00,0.017440829410270975,1.0,1.439008,0.668876,0,1.3067095045149606,1.3067095045149606
30,30,P409,lab,standing,1,0.9246123708933266,2019-11-07 14:43:00,2.5414866646400864,1.8,1.4398030000000002,0.6896418674511806,0,2.277712461373706,1.5
31,31,P409,lab,standing,2,0.9246123708933266,2019-11-07 14:44:00,0.2720599602679201,1.8,1.439008,0.668876,0,1.404661738775029,1.404661738775029
32,32,P409,lab,standing,3,0.9246123708933266,2019-11-07 14:45:00,0.0876563474205493,1.8,1.439008,0.668876,0,1.3337214845090328,1.3337214845090328
